feeling_name
absorbed
affectionate
alert
amazed
amazed
amused
animated
appreciative
ardent
aroused
astonished
awed
blissful
calm
centered
clear-headed
comfortable
compassionate
confident
content
curious
dazzled
delighted
eager
ecstatic
elated
empowered
enchanted
encouraged
energetic
engaged
engrossed
enlivened
enthralled
enthusiastic
entranced
equanimous
excited
exhilarated
expectant
exuberant
fascinated
friendly
fulfilled
giddy
glad
grateful
happy
hopeful
inspired
interested
intrigued
invigorated
involved
joyful
jubilant
lively
loving
mellow
moved
open
open-hearted
optimistic
passionate
peaceful
pleased
proud
quiet
radiant
rapturous
refreshed
rejuvenated
relaxed
relieved
renewed
rested
restored
revived
safe
satisfied
secure
serene
spellbound
still
stimulated
surprised
sympathetic
tender
thankful
thrilled
tickled
touched
tranquil
trusting
vibrant
warm
wonder
