feeling_name
aggravated
agitated
agony
alarmed
alienated
aloof
ambivalent
angry
anguished
animosity
anxious
apathetic
appalled
apprehensive
ashamed
baffled
beat
bereaved
bewildered
bored
burnt out
chagrined
cold
confused
contempt
cranky
dazed
dejected
depleted
depressed
despair
despondent
detached
devastated
discombobulated
disconcerted
disconnected
discouraged
disgruntled
disgusted
disheartened
dislike
dismayed
displeased
dissapointed
distant
distracted
distraught
distressed
disturbed
dread
edgy
embarrased
enraged
envious
exasperated
exhausted
fidgety
flustered
foreboding
forlorn
fragile
frazzled
frightened
frustrated
furious
gloomy
grief
guarded
guilty
hate
heartbroken
heavy hearted
helpless
hesitant
hopeless
horrified
hostile
hurt
impatient
incensed
indifferent
indignant
insecure
irate
irked
irritable
irritated
jealous
jittery
leery
lethargic
listless
livid 
lonely
longing
lost
melancholy
miserable
mistrustful
mortified
mystified
nervous
nostalgic
numb
outraged
overwhelmed
panicked
perplexed
perturbed
petrified
pining
puzzled
rattled
regretful
remorseful
removed
repulsed
resentful
reserved
restless
restless
sad
scared
self-conscious
sensitive
shaky
shocked
sleepy
startled
stressed out
surprised
suspicious
tense
terrified
tired
torn
troubled
turbulent
turmoil
uncomfortable
uneasy
unhappy
uninterested
unnerved
unsettled
upset
vulnerable
wary
weary
wisful
withdrawn
worn out
worried
wretched
